original_team_name,orginal_team_code,final_team_name,final_team_code,year,coach_name,game,draw,rank,win,lost,wa,df,streak,ba,slg,obp,ops,r,hr,rall,ra,era,normal_r,normal_rall,power,rbi,playoff,champion,season_rank
LG,LG,LG,LG,1991,백인천,126,1,6,53,72,0.425,28,,0.244,0.341,0.317,0.658,472,53,608,4.83,4.35,-1.017,0.735,-0.876,,0,0,6
쌍방울,SB,쌍방울,SB,1991,김인식,126,3,6,52,71,0.425,28,,0.253,0.379,0.337,0.716,554,87,638,5.06,4.69,-0.008,1.148,-0.578,,0,0,6
OB,OB,두산,DS,1991,"이재우, 윤동균, 윤동균",126,2,8,51,73,0.413,29.5,,0.25,0.35,0.321,0.671,501,59,593,4.71,4.21,-0.66,0.529,-0.594,,0,0,8
롯데,LT,롯데,LT,1992,강병철,126,0,1,71,55,0.563,0,,0.288,0.417,0.366,0.783,663,68,581,4.61,4.28,0.861,-0.389,0.625,,1,1,3
빙그레,BG,한화,HH,1992,김영덕,126,2,2,81,43,0.651,-11,,0.267,0.43,0.351,0.781,658,146,520,4.13,3.68,0.792,-1.628,1.21,,1,2,1
해태,HT,KIA,KA,1992,김응용,126,1,3,71,54,0.567,-0.5,,0.272,0.425,0.365,0.79,701,138,571,4.53,4.21,1.381,-0.592,0.986,,1,0,2
삼성,SS,삼성,SS,1992,"김성근, 유용득",126,2,4,67,57,0.54,3,,0.265,0.404,0.349,0.753,633,124,636,5.05,4.55,0.45,0.729,-0.139,,1,0,4
OB,OB,두산,DS,1992,윤동균,126,4,5,56,66,0.46,13,,0.259,0.393,0.332,0.725,547,110,582,4.62,4.22,-0.727,-0.368,-0.18,,0,0,5
태평양,TP,현대,HD,1992,정동진,126,3,6,56,67,0.456,13.5,,0.256,0.381,0.33,0.711,518,87,609,4.83,4.48,-1.124,0.18,-0.652,,0,0,6
LG,LG,LG,LG,1992,이광환,126,3,7,53,70,0.433,16.5,,0.257,0.384,0.327,0.711,573,108,616,4.89,4.29,-0.371,0.323,-0.347,,0,0,7
쌍방울,SB,쌍방울,SB,1992,김인식,126,1,8,41,84,0.329,29.5,,0.249,0.37,0.341,0.711,508,90,686,5.44,4.85,-1.261,1.745,-1.503,,0,0,8
해태,HT,KIA,KA,1993,김응용,126,3,1,81,42,0.655,0,,0.251,0.368,0.33,0.698,513,95,420,3.33,2.92,0.573,-0.884,0.728,,1,1,1
삼성,SS,삼성,SS,1993,우용득,126,5,2,73,48,0.599,7,,0.271,0.413,0.349,0.762,615,133,433,3.44,2.95,1.785,-0.627,1.206,,1,2,2
OB,OB,두산,DS,1993,윤동균,126,5,3,66,55,0.544,14,,0.258,0.36,0.328,0.688,473,59,405,3.21,2.89,0.098,-1.18,0.639,,1,0,3
LG,LG,LG,LG,1993,이광환,126,3,4,66,57,0.536,15,,0.256,0.366,0.323,0.689,496,74,440,3.49,3.07,0.371,-0.489,0.43,,1,0,4
빙그레,BG,한화,HH,1993,"김영덕, 강병철",126,4,5,61,61,0.5,19.5,,0.238,0.347,0.317,0.664,455,81,491,3.9,3.46,-0.116,0.518,-0.317,,0,0,5
롯데,LT,롯데,LT,1993,"강병철, 김용희",126,1,6,62,63,0.496,20,,0.248,0.328,0.319,0.647,452,29,462,3.67,3.33,-0.151,-0.054,-0.049,,0,0,6
